event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR97533,29-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Iziumskyi,Barvinkivska,Barvinkove,48.9025,37.0189,2,24 Channel,National,"On 29 March 2023, 2 civilians were killed and 2 were injured, when their vehicle accidentally ran over an anti-tank landmine on a field road near Barvinkove, Kharkiv region.",2,,1680620639
UKR97534,29-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Police Forces of Ukraine (2019-) State Emergency Service of Ukraine,Civilians (Ukraine); Labor Group (Ukraine),1,18,,804,Europe,Ukraine,Mykolaiv,Bashtanskyi,Horokhivska,Velykopillia,46.9353,32.6549,2,Suspilne Media,National,"On 29 March 2023, a vehicle of the State Emergency Service accidentally activated a landmine near Velykopillia, Mykolaiv region, while accompanying the team of power grid engineers who went to repair power lines in de-occupied villages. One of the engineers was injured.",0,,1680620639
UKR97521,27-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Mariupol Communal Militia (Ukraine),,4,Military Forces of Russia (2000-),,8,48,,804,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,24 Channel,National,"On 27 March 2023, an unidentified group, believed to be Ukrainian partisans, blew up a car with a Russian commander in Mariupol, Donetsk. He sustained injures after the explosion.",0,,1680620639
UKR97530,27-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),Labor Group (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Kupianskyi,Kupianska,Kupiansk,49.7106,37.6152,2,Ministry of Defence of Ukraine; Stop Corruption,Other-National,"On 27 March 2023, a civilian, an employee of 'Kharkivoblenergo' energy company, was killed in an explosion of Lepestok mine in Kupiansk, Kharkiv.",1,,1680620639
UKR97524,26-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Velykooleksandrivska,Ishchenka,47.1771,33.2467,2,Suspilne Media,National,"On 26 March 2023, 1 civilian was injured in an explosion of a Russian mine near Ishchenka, Kherson.",0,,1680620639
UKR97525,26-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Vysokopilska,Ivanivka,47.4681,33.3823,2,Novoye Vremya Ukraine,National,"On 26 March 2023, 2 civilians were injured in an explosion of a Russian mine near Ivanivka, Kherson.",0,,1680620639
UKR97526,26-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Vysokopilska,Kostyrka,47.3947,33.5546,2,Suspilne Media,National,"On 26 March 2023, 1 civilian was injured in an explosion of a Russian mine near Kostyrka, Kherson.",0,,1680620639
UKR97528,26-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,,,0,80,,804,Europe,Ukraine,Odesa,Odeskyi,Yuzhnenska,Sychavka,46.6389,31.1071,1,24 Channel,National,"On 26 March 2023, civilian infrastructure was damaged in an explosion of a Russian mine in Sychavka, Odesa. The State Emergency Service of Ukraine defused a Russian bomb. No casualties.",0,,1680620639
UKR97523,25-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Iziumskyi,Balakliiska,Schurivka,49.3997,36.93,2,Ukrinform,National,"On 25 March 2023, 1 civilian was injured in an explosion of a Russian mine near Schurivka, Kharkiv.",0,,1680620639
UKR97532,25-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Chuguivskyi,Starosaltivska,Shestakove,50.0698,36.6244,2,Ukrinform,National,"On 25 March 2023, 1 civilian was killed in an explosion of an unidentified mine near Shestakove, Kharkiv.",1,,1680620639
UKR103110,25-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Ukraine (2019-),,1,Military Forces of Russia (2000-),,8,18,,804,Europe,Ukraine,Donetsk,Donetskyi,Yasynuvatska,Spartak,48.079,37.7635,2,Centre for Information Resilience,New media,"On 25 March 2023, a Russian tank was hit by an anti-tank mine near Spartak, Donetsk region. Casualties unknown.",0,,1684857982
UKR96624,24-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),Farmers (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Sumy,Okhtyrskyi,Tpostyanetska,Trostianets,50.4848,34.9657,1,Suspilne Media,National,"On 24 March 2023, a tractor detonated an unexploded device in Trostianets, Sumy. Four people were injured.",0,,1680026112
UKR96629,23-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Kirovskyi,47.968,37.5475,1,DPR Armed Forces Press Service,Other,"On 23 March 2023, a civilian was wounded when an unidentified 'Lepestok' mine went off in Donetsk - Kirovskyi, Donetsk.",0,,1680026112
UKR96630,23-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Kuibyshivskyi,48.0233,37.7276,1,DPR Armed Forces Press Service,Other,"On 23 March 2023, a civilian was wounded when an unidentified 'Lepestok' mine went off in Donetsk - Kuibyshivskyi, Donetsk.",0,,1680026112
UKR96634,23-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Kupianskyi,Velykoburlutska,Hryhorivka,50.0571,37.6174,2,Suspilne Media,National,"On 23 March 2023, a civilian was killed when an unidentified mine went off near Hryhorivka, Kharkiv.",1,,1680026112
UKR96618,23-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Melitopol Communal Militia (Ukraine),,4,Police Forces of Russian Occupation Government (2022-),,1,14,,804,Europe,Ukraine,Zaporizhia,Melitopolskyi,Melitopolska,Melitopol,46.8489,35.3653,1,Novoye Vremya Ukraine,National,"On 23 March 2023, a policeman working for Russian forces was wounded as a result of an explosion presumably organized by Ukrainian partisans in Melitopol, Zaporizhia.",0,,1702412055
UKR96625,22-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),Farmers (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Chervone,47.2621,33.6591,2,Suspilne Media,National,"On 22 March 2023, a civilian was killed, having accidentally activated an explosive while doing agricultural works near Chervone, Kherson region.",1,,1680026112
UKR96627,22-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Petrovskyi,47.9495,37.6138,1,DPR Armed Forces Press Service,Other,"On 22 March 2023, a civilian was injured in Donetsk - Petrovskyi, Donetsk region, having accidentally activated a PFM-1 Lepestok anti-infantry landmine scattered by unidentified military forces.",0,,1680026112
UKR96628,22-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Velykooleksandrivska,Velyka Oleksandrivka,47.3197,33.3037,2,Suspilne Media,National,"On 22 March 2023, a civilian was injured, having accidentally activated an explosive device in a forest strip near Velyka Oleksandrivka, Kherson region.",0,,1680026112
UKR96633,22-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Iziumskyi,Iziumska,Ivanivka,49.2761,37.103,1,Suspilne Media,National,"On 22 March 2023, a civilian was killed, having accidentally activated a cluster munition in Ivanivka, Kharkiv region.",1,,1680026112
UKR96635,22-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Mykolaiv,Bashtanskyi,Horokhivska,Sadove,46.9541,32.7438,2,Novoye Vremya Ukraine,National,"On 22 March 2023, 3 civilians were killed near Sadove, Mykolaiv region, when they drove across a field to a local forest strip to harvest firewood and their car ran over an anti-tank landmine.",3,,1680026112
UKR96631,21-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Donetsk,Donetskyi,Makeyevka,Makiivka,48.0464,37.9693,1,DPR Armed Forces Press Service,Other,"On 21 March 2023, a civilian was injured in an explosion of a mine in Makiivka, Donetsk.",0,,1680026112
UKR96632,21-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Kuibyshivskyi,48.0233,37.7276,1,DPR Armed Forces Press Service,Other,"On 21 March 2023, a civilian was injured in an explosion of Lepestok mine in Donetsk - Kuibyshivskyi, Donetsk.",0,,1680026112
UKR96619,21-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),Farmers (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Mykolaiv,Mykolaivskyi,Pervomaiskaya,Pervomayske,47.0427,32.44,2,Suspilne Media,National,"On 21 March 2023, a farmer on a tractor triggered a mine left by Russian forces in Pervomayske territorial community, Mykolaiv. It is unknown what injuries the farmer sustained.",0,,1684857987
UKR96621,20-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Velykooleksandrivska,Mala Oleksandrivka,47.293,33.2795,2,Suspilne Media,National,"On 20 March 2023, one civilian was injured in an explosion of an explosive device near Mala Oleksandrivka, Kherson, planted by Russian forces.",0,,1680026112
UKR96622,20-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Khersonskyi,Stanislavska,Stanislav,46.579,32.1496,2,Suspilne Media,National,"On 20 March 2023, one civilian was killed in an explosion of an explosive device near Stanislav, Kherson, planted by Russian forces.",1,,1680026112
UKR97529,19-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,3,,,0,30,,804,Europe,Ukraine,Crimea,Simferopolskyi,Simferopolska,Simferopol,44.9502,34.1017,1,Institute for the Study of War,Other,"On 19 March 2023, unknown actors planted a bomb next to a gas pipeline in Simferopol, Crimea, causing an explosion and fire. Casualties unknown.",0,,1680620639
UKR96620,19-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),Farmers (Ukraine); Government of Ukraine (2019-),7,78,Civilian targeting,804,Europe,Ukraine,Mykolaiv,Bashtanskyi,Snihurivska,Snihurivka,47.0702,32.7914,2,Suspilne Media,National,"On 19 March 2023, a Ukrainian tractor driver and a member of Mykolaiv regional council who stood not far from the explosion epicentre were wounded when a Russian mine went off near Snihurivka, Mykolaiv.",0,local administrators,1687837309
UKR96626,18-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Kalinovskaya,Kalynivske,47.1152,32.985,2,Suspilne Media,National,"On 18 March 2023, 1 civilian was injured in an explosion of an unidentified item near Kalynivske, Kherson.",0,,1680026112
UKR108233,17-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),Farmers (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Chernihiv,Chernihivskyi,Chepnigivska,Chernihiv,51.5055,31.2849,3,HRW,Other,"On 17 March 2023, a Ukrainian farmer was seriously injured when his tractor hit a Russian landmine in the Chernihiv region.",0,,1687879967
UKR108234,17-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Iziumskyi,Iziumska,Izium,49.2088,37.2485,1,HRW,Other,"On 17 March 2023, a Ukrainian civilian was seriously injured in an explosion of a Russian landmine in a forest in Izium, Kharkiv region.",0,,1687879967
UKR108235,17-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,3,HRW,Other,"On 17 March 2023, a Ukrainian civilian collecting firewood was seriously injured in an explosion of a Russian landmine in the Kherson region.",0,,1687879967
UKR96375,17-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Yuvileine Communal Militia (Ukraine),,4,Police Forces of Russian Occupation Government (2022-),Civilians (Ukraine),1,14,,804,Europe,Ukraine,Kherson,Khersonskyi,Yuvileina,Yuvileine,46.486,33.2111,1,BBC News,Regional,"On 17 March 2023, suspected partisans blew up a car of a police officer in Yuvileine, Kherson. The victim had been collaborating with Russian forces and allegedly tortured Ukrainian civilians in Nova Kakhovka. The police officer was killed, another woman was injured.",1,,1702412055
UKR96364,15-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kyiv,Vyshhorodskyi,Poliska,Krasiatychi,51.078,29.6422,2,Suspilne Media,National,"On 15 March 2023, a civilian was injured by an explosive planted by an unidentified armed forces in Polissya community (coded to Krasiatychi, Kyiv region). He was cutting a tree, and when the tree trunk fell down, it activated an explosive on the ground.",0,,1679425924
UKR96365,15-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),Farmers (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Khersonskyi,Stanislavska,Stanislav,46.579,32.1496,2,Suspilne Media,National,"On 15 March 2023, a civilian was injured in Stanislav community (coded to Stanislav, Kherson region), when he accidentally activated a cluster munition while sowing crops in a field.",0,,1679425924
UKR95483,14-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Melitopol Communal Militia (Ukraine),,4,Civilians (Ukraine),Military Forces of Russia (2000-),7,47,Civilian targeting,804,Europe,Ukraine,Zaporizhia,Melitopolskyi,Melitopolska,Melitopol,46.8489,35.3653,1,Novoye Vremya Ukraine,National,"On 14 March 2023, an unidentified explosive device, presumably planted by local partisans, destroyed the car of and seriously injured a head of the transportation company collaborating with Russian forces in Melitopol, Zaporizhia. The victim died in the hospital.",1,,1679425921
UKR95506,14-Mar-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),Farmers (Ukraine),7,78,Civilian targeting,804,Europe,Ukraine,Donetsk,Kramatorskyi,Limanska,Vovchyi Yar,49.2021,37.665,2,Suspilne Media,National,"On 14 March 2023, a Ukrainian tractor driver was wounded when a Russian mine went off near Vovchyi Yar, Donetsk.",0,,1679425921
